Matchcode,Strain,Start of outbreak,Duration (days),Country,Lat,Long,Cases (patient),Transmission,Molecular Evidence,Comments
Enterobacter-2001-Juk-209,MDREC,1999.58,61,,,,11,equip,yes,contaminated laryngoscope blades
Enterobacter-2001-Kni-362,EC,1997.75,31,,,,15,env,yes,"contaminated tap water, biofilms from piping system, and tea"
Enterobacter-2001-van-184,ES,1998.416667,61,"Brussels, Belgium",,,12,food,yes,contaminated formula milk and unopened cans
Enterobacter-2000-Wan-185,EC,1996.5,91,"Atlanta, USA",,,5,bio,yes,contaminated human albumin
Enterobacter-2000-Gon-132,EC + MDREA,1997.16,306,,,,49,equip,yes,contaminated parenteral nutrition solutions
Enterobacter-2000-Pia-218,MDREA,1998.16,90,"Montigny-le-Tilleul, Belgium",,,12,unk,no,
Enterobacter-2000-Yu-175,MDREC,1996.42,245,"Taichung, Taiwan",,,23,HCW+equip+food,yes,"contamination of saline bottle used for heparin diluation, infant milk formula, HCW"
Enterobacter-2000-Pet-1790,MDREC,1995.5,62,"Washington, USA",,,22,equip,yes,contaminated equipment; not specificed
Enterobacter-2000-Tre-1800,EC,1995.42,30,"Campinas, Brazil",,,11,equip,yes,contaminated parenteral nutrition solution
Enterobacter-1999-Har-996,EC,1996.92,62,"Geneva, Switzerland",,,8,equip,no,possible contamination of multidose vials
Enterobacter-1999-Loi-2486,EA,1995.92,91,"Shahdara, India",,,13,equip,yes,isolates from rubber tubing of suction machine
Enterobacter-1999-van-177,EC,1997.92,62,"Nijmegen, The Netherlands",,,32,equip,yes,contaminated thermometers
Enterobacter-1998-Fin-157,CREC,1997.58,396,"Linkoping, Sweden",,,15,HCW,no,
Enterobacter-1998-Joc-131,EC,1995.42,183,"Atlanta, USA",,,10,equip,yes,contaminated dialysis machines
Enterobacter-1998-van-208,EC,1996.66,61,"Johannesburg, South Africa",,,9,equip,yes,contaminated Vamin amino acid cocktail solution stock bottle
Enterobacter-1998-Jal-289,MDRAE,1998.5,184,"Brussels, Belgium",,,30,equip,yes,"contaminated catheter, and heparin vial"
Enterobacter-1997-Wen-1949,MDREH,1992.82,151,"Philidelphia, USA",,,10,env,yes,contaminated isolette tops and doorknob
Enterobacter-1997-de-138,EA,1994.5,243,"Brussels, Belgium",,,34,env,yes,"inspiratory and exspiratory tubings of mechanical ventilators, water from the humidifiers, and rinse water used for tracheal aspiration cannulas."
Enterobacter-1997-Dav-141,EC,1994.83,212,"Marseille, France",,,15,unk,no,
Enterobacter-1996-Neu-149,MDREA,1993.66,273,"Dijon, France",,,15,unk,no,
Enterobacter-1996-Shi-134,MDREC,1995.5,153,"Taichung, Taiwan",,,26,HCW,no,
Enterobacter-1996-Wal-1952,EC + EA,1987.83,142,"Malmo, Sweden",,,20,unk,no,
Enterobacter-1996-Arp-194,MDREA,1993,304,"Bordeaux, France",,,41,env,yes,
Enterobacter-1995-Lac-1964,MDREC,1992.92,121,"London, UK",,,5,env,yes,probe of the blood gas machine and the probe cover
Enterobacter-1995-Ver-1979,EC,1992.83,151,"Nijmegen, The Netherlands",,,6,unk,no,
Enterobacter-1995-Geo-207,MDREA,,91,"Houston, Texas",,,43,unk,no,
Enterobacter-1994-Aco-200,EC,1990.58,822,"London, UK",,,61,equip,yes,blood gas analyser
Enterobacter-1994-Gra-189,MDREC,1992.92,31,"Saint-Etienne, France",,,10,PTP,no,
Enterobacter-1994-Mir-1791,MDRE spp.,1990.66,30,"Kayseri, Turkey",,,6,equip,yes,contaminated cotton swabs
Enterobacter-1993-Tho-136,EC,1989.16,61,"Vellore, India",,,7,equip,yes,transducer head in-use
Enterobacter-1989-Sim-126,ES,1988.08,59,"Tennessee, USA",,,4,equip+food,yes,infant formula and blender
Enterobacter-1989-Bie-1625,ES,1986.16,335,"Reykjavik, Iceland",,,4,food,yes,powdered milk formula
Enterobacter-1988-Ver-148,EC,1986.33,31,"Ghent, Belgium",,,5,equip,yes,parenteral nutrition production line
Enterobacter-1987-Mod-147,CREC,1985.42,122,,,,12,unk,no,
Enterobacter-1987-Ars-179,MDRES,1984.58,61,,,,11,unk,no,
Enterobacter-1983-And-195,MDREC,1978.16,426,,,,34,HCW,no,
Enterobacter-1979-May-192,EC,1976,366,"Richmond, USA",,,75,HCW+env,yes,hydrotherapy area and from the hands of nursing personnel
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
suggestion that new category = fluids to separate from equipment - different survival characteristics; also medication? (usually fluids as well),drugs are considered equipment as is parenteral nutrition,,,,,,,,,
Enterobacter hormaechei,,,,,,,,,,
Enterobacter sakazakii,,,,,,,,,,
Enterbacter aerogenes,,,,,,,,,,
Enterobacter cloacae,,,,,,,,,,
Cephalosporin,,,,,,,,,,
Doxycycline,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
