Matchcode,Resistance,Start of outbreak,Duration (days),Country,Latitude,Longitude,Cases (patient),Transmission,Molecular Evidence,Hospital Size (number of beds),Comments on Transmission,
Enterococcus-2006-Gra-2038,VRE,1997.00,1460.00,"Umea, Sweden",63.83,20.26,51,env,yes,800,databse: including newspapers; 1/140 environemental samples positive,
Enterococcus-2004-Hac-1429,VRE,1997.00,730.00,"Houston, TX, USA",29.76,-95.37,38,unk,no,,,
Enterococcus-1999-Lee-1709,VRE,1997.25,426.00,"Chunan, South Korea",36.81,127.15,4,unk,yes,,,
Enterococcus-2001-Rup-1475,VRE,1997.58,153.00,"Omaha, NE, USA",41.25,-96,28,unk,yes,,,
Enterococcus-1999-Loe-1902,VRE,1998.08,89.00,"Hamilton, ON, Canada",43.24,-79.89,20,unk,no,,,
Enterococcus-2002-Sam-1374,VRE,1998.25,214.00,"Ottawa, Canada",45.42,-75.7,16,env,yes,1100,"database: diaharrea. Article: VRE positive bed rails, a bed control button, a phone, and toilet",
Enterococcus-2002-Col-1699,VRE,1998.25,365.00,"Antalya, Turkey",36.88,30.71,5,unk,yes,,database: One VRE isolate was cultured from the sphygmomanometer dedicated to one of the five patients,
Enterococcus-2001-Mac-1698,VRE,1998.50,153.00,"Westmead, NSW, Australia",-33.81,151,19,HCW,no,,suspected. Database,
Enterococcus-2002-Pan-2837,VRE,1998.58,92.00,"Bogota, Columbia",4.6,-74.08,23,unk,no,,,
Enterococcus-2002-Coo-1361,VRE,1998.67,61.00,"Box Hill, VI, Australia",-37.82,145.12,45,env,yes,300,toliet seat and hand rail,
Enterococcus-2002-Tim-1700,VRE,1998.83,365.00,"Amsterdam, The Netherlands",51.37,4.9,24,HCW,no,,database: HCW suspected,
Enterococcus-2004-Mor-1551,VRE,1999.33,92.00,"Sao Paulo, Brazil",-23.55,-46.64,10,unk,no,,,
Enterococcus-2005-Kno-2980,VRE,1999.42,730.00,"Martin-Luther-Universität Halle-Wittenberg, Germany",51.5,11.93,44,env,yes,N/A,database: of samples: 7.5% of environment and 1.5% personnel positive,
Enterococcus-2001-Bar-1706,VRE,1999.42,122.00,"Brisbane, Australia",-27.47,153.02,33,env,yes,800,database,
Enterococcus-2001-Kaw-676,VRE,1999.50,243.00,"Warsaw, Poland",52.23,21.01,11,unk,no,,,
Enterococcus-2001-Oan-1714,VRE,1999.50,62.00,"Nakano city, Japan",35.71,139.66,11,env,yes,,,
Enterococcus-2005-Yoo-2777,VRE,2000.00,365.00,"Seoul, Korea",37.57,126.98,19,unk,no,,,
Enterococcus-2000-van-1704,VRE,2000.25,30.00,"Utrecht, The Netherlands",52.09,5.11,12,unk,yes,,,
Enterococcus-2006-MAS-2417,VRE,2000.25,1006.00,"Arnhem, The Netherlands",51.99,5.9,93,HCW,yes,N/A,database; PTP,
Enterococcus-2002-Kha-794,VRE,2000.42,30.00,"Karachi, Pakistan",24.89,67.03,10,HCW,yes,,database; PTP,
Enterococcus-2005-Gol-1819,VRE,2000.50,92.00,"Boston, USA",42.36,-71.06,22,equip,yes,N/A,incubator contamination,
Enterococcus-2004-Bor-2981,VRE,2001.00,151.00,"Tubingen, Germany",48.52,9.06,24,HCW,yes,N/A,Outbreaks from Jan-Mar and Jun-Jul. No +ve env cultures,
Enterococcus-2004-Bor-1559,VRE,2001.00,90.00,"Tubingen, Germany",48.52,9.06,15,unk,yes,,,
Enterococcus-2006-Pet-2095,VRE,2001.25,549.00,"Pavia, Italy",45.19,9.16,56,HCW,yes,N/A,,
Enterococcus-2004-Bor-1560,VRE,2001.42,61.00,"Tubingen, Germany",48.52,9.06,9,HCW,yes,,database; PTP,
Enterococcus-2004-Chr-1425,VRE,2001.50,184.00,"Perth, Australia",-31.95,115.876,169,env,yes,694,database: poor hand hygiene and diahorrea,
Enterococcus-2004-Oh-1705,VRE,2002.00,120.00,"Seoul, South Korea",37.57,126.98,17,unk,yes,,,
Enterococcus-2005-Chu-2019,VRE,2002.08,28.00,"Hong Kong, China",22.4,114.11,8,env,yes,1850,"database: 7.9% of environmental samples including: bedside tables, bed rails, walking frame, sink, and medical chat",
Enterococcus-2004-Mor-1552,VRE,2002.33,92.00,"Sao Paulo, Brazil",-23.55,-46.64,2,unk,no,,,
Enterococcus-2007-WOR-2437,VRE,2003.58,668.00,"Melbourne, Australia",-37.81,144.96,14,unk,no,,,
Enterococcus-2007-Fon-2637,VRE,2004.00,151.00,"Rome, Italy",41.89,12.49,3,unk,no,,,
Enterococcus-2009-The-2925,VRE,2004.00,730.00,"Freiburg, Germany",48,7.84,25,unk,no,,,
Enterococcus-2006-Les-2289,VRE,2004.00,212.00,"Clermont-Ferrand, France",45.78,3.09,16,HCW,no,33U,database; PTP,
Enterococcus-2006-Chl-2298,VRE,2004.17,61.00,Singapore,1.35,103.82,6,unk,yes,,,
Enterococcus-2007-Bor-2982,VRE,2004.25,610.00,"Tubingen, Germany",48.52,9.06,101,unk,no,,,
Enterococcus-2005-Bor-2138,VRE,2004.25,183.00,"Budapest, Hungary",47.5,19.04,21,unk,no,,,
Enterococcus-2008-Con-2585,VRE,2004.33,61.00,"Bogota, Columbia",4.6,-74.08,11,unk,yes,,,
Enterococcus-2008-Pen-2533,VRE,2004.42,183.00,"Westmead, NSW, Australia",-33.81,151,13,unk,no,,,
Enterococcus-2007-DEP-2439,VRE,2004.50,518.00,"Brussels, Belgium",50.85,4.35,13,unk,no,,,
Enterococcus-2006-DOB-2410,VRE,2004.75,273.00,"Birmingham, AL, USA",33.52,-86.8,40,unk,yes,,,
Enterococcus-2008-Dre-2848,VRE,2005.00,151.00,"Toronto, Canada",43.65,-79.38,34,unk,no,,,
Enterococcus-2009-Sou-294,VRE,2005.08,120.00,"Chaidari, Greece",38,23.66,5,env,yes,330,database: HCW+env+PTP suspected,
Enterococcus-2008-Sak-2949,VRE,2005.08,120.00,"Athens, Greece",37.98,23.74,53,unk,no,330,,
Enterococcus-2007-Kaw-2663,VRE,2005.17,122.00,"Warsaw, Poland",52.23,21.01,27,unk,no,N/A,subsequently colonized patients shared a room with a VRE patient,
Enterococcus-2008-Kur-2575,VRE,2005.17,122.00,Singapore,1.35,103.82,147,HCW,yes,1600,numerous carriers in two weeks suggested a large hospital reservior for the VRE; PTP,
Enterococcus-2007-Yan-2739,VRE,2005.17,122.00,Singapore,1.35,103.82,84,unk,no,,,
Enterococcus-2008-Kur-2560,VRE,2005.25,610.00,Singapore,1.35,103.82,200,unk,no,,,
Enterococcus-2008-ERG-2473,VRE,2005.42,122.00,"Antalya, Turkey",36.88,30.71,10,unk,no,,,
Enterococcus-2007-Com-2385,VRE,2005.67,30.00,"Zonguldack, Turkey",41.46,31.8,4,HCW,yes,,database: 3 patients positive; one shared same room as index patient; no VRE isolation from environment; PTP,
Enterococcus-2007-Luc-2728,VRE,2005.67,30.00,"Paris, France",48.86,2.35,38,HCW,yes,,database:all 38 patients linked by transfers or readmissions of VRE-positive patients; PTP,
Enterococcus-2008-Par-2951,VRE,2005.83,61.00,"Suwon, Korea",37.26,127.03,6,unk,no,,,
Enterococcus-2010-Kir-2917,VRE,2006.33,184.00,"Aydin, Turkey",37.84,27.85,7,unk,no,,multiple acquistion of resistant isolates,
Enterococcus-2009-Val-2970,VRE,2006.42,730.00,"Madrid, Spain",40.42,-3.7,50,unk,no,,,
Enterococcus-2008-Coo-2549,VRE,2006.50,123.00,"Columbus, OH, USA",39.97,-83,9,unk,yes,,,
Enterococcus-2009-Yoo-2823,VRE,2006.67,153.00,"Seoul, Korea",37.57,126.98,50,env,yes,850,Results: 5.6% of environmental samples contaminated,
Enterococcus-2009-Zhu-2689,VRE,2006.67,365.00,"Beijing, China",39.9,116.41,14,unk,yes,20 U,Results: no environmental isolates,
Enterococcus-2009-Ser-2931,VRE,2007.00,59.00,"Paris, France",48.86,2.35,14,unk,no,,,
Enterococcus-2008-Hos-2530,VRE,2007.00,120.00,"Kyshu, Japan",33,131,15,unk,no,,,
Enterococcus-2009-Hsi-2694,VRE,2007.33,184.00,"Taipei, Taiwan",25.09,121.56,16,unk,yes,,environment was screened but there were no positive results,
Enterococcus-2010-Mor-2887,VRE,2007.42,214.00,"Sao Paulo, Brazil",-23.55,-46.64,321,unk,no,,,
Enterococcus-2008-SAM-2461,ER,2007.58,244.00,"London, UK",,,17,unk,yes,,,
Enterococcus-2008-CON-2460,EG,2004.33,61.00,"Bogotá, Colombia",,,11,unk,no,,,
Enterococcus-2007-Kai-2613,EFS+EFM,2004.00,427.00,"Nashville, USA",,,15,HCW,no,,database: PTP suspected,
Enterococcus-2006-Str-2264,EFS,2004.25,61.00,"São Paulo, Brazil",,,4,unk,yes,,,
Enterococcus-2005-Naa-1892,EFM,2004.58,153.00,France,,,24,unk,no,,,
Enterococcus-2004-Vel-1317,EFS,2001.33,154.00,"La Coruna, Spain",,,6,unk,no,,,
Enterococcus-2004-Eom-1315,E,2001.00,365.00,"Seoul, Korea",,,20,unk,no,,,
Enterococcus-2004-Pou-1311,EFS,2000.58,487.00,Greece,,,24,HCW,no,,,
Enterococcus-2003-Wer-3121,EFM,,10.00,Germany,,,3,unk,no,,,
Enterococcus-2003-Sam-1498,EFS+EFM,1995.17,365.00,Sweden,,,10,unk,no,,The enviroment was heavily contaminated wih enterococci,
Enterococcus-2003-Wen-3098,EFS,1997.42,944.00,"Bergen, Norway",,,9,unk,no,,"There was no direct evidence for person-to-person spread, or spread of genetic elements.",
Enterococcus-2000-McC-680,EFM,1998.83,92.00,"Johannesburg, South Africa",,,93,unk,no,,,
Enterococcus-2000-Har-677,EFM,1995.00,730,"Bergen, Norway",,,149,unk,no,,probably contact.,
Enterococcus-1999-Kir-1901,EFM,1997.08,28.00,"Burlington, USA",,,5,HCW+equip+env,no,,database: The organism was transmitted via hands or a contaminated environment source (medical equipment or fomites),
Enterococcus-1999-Tak-1957,EFS,1995.17,92,"Sapporo, Japan",,,9,HCW+equip ,no,,database: Cross-infection seemed to have occurred via urinary catheters or by hand contact; isolates found in 5/9 urine samples,
Enterococcus-1998-Cam-1827,EFS,1993.33,31,"Riyadh, Saudi Arabia",,,4,equip,yes,,database: Transmission occurred via transplanted corneas,
Enterococcus-1997-Dom-649,VRE,1993.58,122,"Omaha, USA",,,8,HCW,no,,PTP,
Enterococcus-1996-Qua-605,EFM+EFS,1991.00,1640,"Brooklyn, USA",,,159,HCW,no,in urine samples,PTP,
Enterococcus-1996-Iss-612,EFM+EFS,1990.83,1401,"London, UK",,,112,unk,no,,,
Enterococcus-1995-Boy-617,EM,1994.00,31,"Providence, USA",,,12,unk,no,,,
Enterococcus-1994-Jor-611,VRE,1992.25,91,"Headington, UK",,,22,HCW,no,in urine samples,PTP,
Enterococcus-1994-Boy-639,EFM,1991.42,579,"Providence, USA",,,37,HCW+env,no,,,
Enterococcus-1993-Boy-615,EFM+EFS,1990.00,1095,"New York, USA",,,32,unk,yes,,,
Enterococcus-1992-Wel-637,EFS,1988.50,884,"Richmond, USA",,,65,HCW,no,,,
Enterococcus-1992-Liv-638,EFM,1991.08,28,Philadelphia. USA,,,9,equip,yes,,database: tranmission from rectal thermometer,
Enterococcus-1988-Hus-613,EFS,1985.75,61,"London, Canada",,,5,HCW+equip+env,no,,,
Enterococcus-1987-Lug-1525,EFS,1983.58,184,"Denver, USA",,,8,unk,no,,,
Enterococcus-1984-Cou-1132,EFM,1982.33,365,"London, Canada",,,33,HCW,yes,,database: 3 hand cultures positive,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
HCW and PTP are recorded as the same,,,,,,,,,,,,
If HCW + env were suspected this is recorded as env,,,,,,,,,,,,
"molecular confirmation from database or abstract; if mentioned but not performed, further search was done in the method/results section of the article. If molecular testing was not mentioned in either database or abstract it was listed as ""no"" under that column.",,,,,,,,,,,,
bio = biologic ,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
EFS,E. faecalis,,,,,,,,,,,
EFM,E. faecium,,,,,,,,,,,
EG,E. gallinarum,,,,,,,,,,,
ER,E. raffinosus,,,,,,,,,,,
