Matchcode,Strain,Start of outbreak,Duration (days),Country,Lat,Long,Cases (patient),Transmission,Molecular Evidence,Comments
Salmonella-1997-Mol-2261,Salmonella Enteritidis,1994.5,30,"Mexico City, Mexico",,,97,food,yes,"Breakfast meal on July 14th was associated with the development of gastroenteritis (61/67 cases vs 26/50 controls, p < 0.001), and particularly with an egg-covered meat plate (61/62 vs 13/26 controls, p < 0.0001)."
Salmonella-1997-Rus-519,Salmonella Enteritidis,1995.5,31,"London, UK",,,7,PTP,no,
Salmonella-1996-Eva-497,Salmonella Enteritidis,1990.5,31,UK,,,101,food,yes,egg shells in hospital kitchen
Salmonella-1996-New-1047,Salmonella Group G,1990.92,62,"Accra, Ghana",,,6,HCW+equip+env,yes,
Salmonella-1996-L E-485,Salmonella Senftenberg,1993.17,640,"St. Louis, USA",,,18,food+equip,yes,epidemiological evidence
Salmonella-1995-Mor-505,Salmonella enterica enterica,1989.08,181,"Madrid, Spain",,,8,unk,no,
Salmonella-1995-Mah-2267,Salmonella Typhimurium,1994.25,122,"Delhi, India",,,48,PTP+equip,yes,suction equipment
Salmonella-1994-Khu-491,Salmonella Enteritidis,1989.67,30,"Amman, Jordan",,,26,HCW+food,yes,positive HCW + epi food
Salmonella-1994-Dry-511,Salmonella Enteritidis,1993.42,30,"Winchester, UK",,,22,HCW,yes,epi evidence
Salmonella-1994-Sta-493,Salmonella Hadar,1992.67,30,"Atlanta, USA",,,32,HCW,yes,8 HCW stool samples
Salmonella-1993-Gup-1084,Salmonella Senftenberg,1992,365,"Delhi, India",,,5,unk,no,
Salmonella-1992-Aro-1088,ÊSalmonella Typhi,1989.58,273,"Calcutta, India",,,103,unk,no,
Salmonella-1991-Sab-2554,Salmonella Reading,1990.75,92,Connecticut. USA,,,3,food,no,
Salmonella-1991-Sir-895,ÊSalmonella Urbana,1988.42,5,"Bangkok, Thailand",,,57,env,no,
Salmonella-1991-Kha-526,Salmonella Worthington,1986.17,61,"Rawalpindi, Pakistan",,,40,equip,yes,contaminated rubber tubing of a suction apparatus which was used for oropharyngeal suction of the babies.
Salmonella-1991-Sab-1035,ÊSalmonella Reading,1990.75,122,USA,,,3,HCW,yes,food prep in kitchen
Salmonella-1991-Tel-1032,Salmonella Enteritidis,1987.5,62,"New York, USA",,,130,food,yes,epi evidence
Salmonella-1991-Ahm-896,Salmonella Typhimurium,1989.5,31,UK,,,14,unk,no,
Salmonella-1990-Wil-1030,Salmonella Enteritidis,1988.75,31,UK,,,41,unk,no,
Salmonella-1990-Jos-1085,Salmonella Senftenberg,1987.42,487,"New Delhi, India",,,35,unk,no,
Salmonella-1990-Cho-1046,Salmonella Heidelberg,1987.08,120,"Los Angeles, California",,,44,unk,no,
Salmonella-1989-Mir-1043,Salmonella Typhimurium,1985,365,Kenya,,,560,unk,no,
Salmonella-1989-Bar-506,Salmonella Heidelberg,1987.75,61,"London, UK",,,17,food,no,
Salmonella-1989-Kon-1045,Salmonella Enteritidis,1987.33,153,"Belfast, Ireland",,,7,PTP,no,
Salmonella-1988-Ger-499,Salmonella Montevideo,1984.33,61,Germany,,,26,unk,no,
Salmonella-1986-McA-898,Salmonella Livingstone var. 14+,1986,31,UK,,,15,PTP+equip,no,
Salmonella-1985-Had-1028,Salmonella Enteritidis,1980.75,700,"Zorzor, Liberia",,,97,unk,no,
Salmonella-1984-Lam-1033,Salmonella Typhimurium,1982.17,61,USA,,,5,HCW,yes,
Salmonella-1984-Lep-486,Salmonella Typhimurium,1982.17,275,"Kigali, Rwanda",,,66,unk,no,
Salmonella-1984-Spi-512,Salmonella,1981.67,31,"Vermont, USA",,,43,HCW,no,
Salmonella-1983-Sea-1086,Salmonella Ohio var. 14+,1977.92,62,USA,,,7,PTP,no,
Salmonella-1983-Rob-1042,Salmonella Typhimurium,1979,730,South Africa,,,26,HCW,yes,epi evidence
Salmonella-1980-Kum-1048,Salmonella Newport,1976,181,India,,,45,unk,no,
Salmonella-1976-Pag-1039,Salmonella Typhimurium,1973,365,Switzerland,,,26,HCW,yes,two asymptomatic carriers were detected among persons engaged in the preparation of food.
Salmonella-1975-Ste-1037,Salmonella Typhimurium,1973.67,30,USA,,,24,PTP,no,
Salmonella-1970-Adl-897,Salmonella Indiana,1968.25,365,USA,,,23,env,yes,"S. indiana was isolated from the following sites in patients rooms: table tops, floors, sinks."
Salmonella-1969-Row-902,Salmonella Virchow,1968.75,61,UK,,,32,PTP,yes,from baby
Salmonella-1967-Mor-900,Salmonella Blockley,1966.33,31,USA,,,43,food,no,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
