Matchcode,Strain,Start of outbreak,Duration (days),Country,Lat,Long,Cases (patient),Transmission,Molecular Evidence,Comments,,,
Streptococcus-1997-Kol-2324,SP,1990.92,151,"Copenhagen, Denmark",,,3,HCW,yes,from surgeon during operation; isolate from tonsils,,,
Streptococcus-1997-Cen-2286,MDRSP,1996.33,61,USA,,,14,unk,no,,,,
Streptococcus-1996-Ram-1231,group A,1994.75,61,"Toronto, Canada",,,3,unk,no,env negative; symptomatic nurses treated but no molecular evidence,,,
Streptococcus-1996-Cam-582,SP,1994.5,92,"Houston,  USA",,,4,PTP,no,,,,
Streptococcus-1996-Gru-585,group A,1993.92,62,"Zuiderziekenhuis, The Netherlands",,,13,HCW,no,"One patient contracted the T13-M77 strain while in protective isolation, indicating a role for staff members in the transmission but no evidence",,,
Streptococcus-1994-Man-1183,SP,1990.83,242,"Veldhoven, The Netherlands",,,18,air,no,,,,
Streptococcus-1994-Gal-1143,group C,1991.25,30,"Durham, UK",,,7,env,no,env negative ,Streptococcus equisimilis,,
Streptococcus-1994-Mil-1184,MDRSP,1993.08,28,UK,,,9,air,no,HCW and env negative,,,
Streptococcus-1994-Tak-1261,group B,1992.75,61,"Omura, Japan",,,3,unk,no,HCW negative,,,
Streptococcus-1993-Qui-1431,SP,1990.75,31,USA,,,9,unk,no,HCW negative,,,
Streptococcus-1993-Ada-1082,SA,1990,243,"Kansas City, USA",,,23,unk,no,suspected multi,,,
Streptococcus-1992-Aue-1091,SP,1989.92,62,"Atlanta, USA",,,16,unk,no,,,,
Streptococcus-1992-Car-1113,SP,1991.67,30,UK,,,4,unk,no,respiratory equipment negative,,,
Streptococcus-1992-Daw-1109,SP,1991.67,122,UK,,,3,air,no,,,,
Streptococcus-1992-Har-2763,SP,,122,"Rochester, NY,USA",,,14,PTP,yes,"All but one of the 14 infected residents in the ICF either roomed with or lived adjacent to another infected resident, were a close friend of another infected resident,",,,
Streptococcus-1991-Bra-1135,group G,1987.08,303,"N”mes, France",,,6,equip,no,suspected dialysis machines with defective microporous filter,,,
Streptococcus-1991-Mag-1442,SP,1990.17,31,"Sheffield, UK",,,7,HCW,no,,,,
Streptococcus-1991-Vig-2348,group A,"1987,33",153,"Boston, USA",,,13,HCW,yes,one obstetrician (strong statement),,,
Streptococcus-1990-Bur-1096,SP,1988.42,61,"Sheffield, UK",,,4,HCW,yes,forearm lesions positive in nurses,,,
Streptococcus-1990-Mas-2377,group A,1985.25,1248,"Atlanta, USA",,,20,HCW,yes,from technician and other HCWs,,,
Streptococcus-1990-All-1090,SP,1989.33,31,UK,,,6,unk,no,HCW negative,,,
Streptococcus-1990-Pau-1255,group A,1988.92,31,"Trenton, USA",,,4,HCW,yes,anesthesiologist,,,
Streptococcus-1989-Tea-1136,Streptococcus equisimilis,1987.08,89,UK,,,35,env,yes,toilet seat and bath mat,,,
Streptococcus-1987-Web-1262,group A,1985,90,UK,,,8,unk,no,,,,
Streptococcus-1987-Hay-1140,group G,1985.17,61,UK,,,15,equip,yes,toilet and automated douches,,,
Streptococcus-1986-Nic-1230,group A,1983,31,Canada,,,3,equip,no,HCW negative,,,
Streptococcus-1985-Ber-1087,SP,1983.17,31,USA,,,4,air,no,HCW negative,,,
Streptococcus-1985-Cla-1112,group A,1983.5,8,Sweden,,,8,env,yes,hand shower positive nad likely,,,
Streptococcus-1985-Dec-1104,group A,1983.75,61,USA,,,20,food,no,suspected food,,,
Streptococcus-1984-Rub-1433,SP,1982.08,393,USA,,,13,unk,no,,,,
Streptococcus-1984-Whi-1384,group A,1982.83,181,UK,,,11,unk,yes,HCW negative,,,
Streptococcus-1983-Rei-1434,SP,1981.08,242,UK,,,10,HCW,no,,,,
Streptococcus-1982-Gre-1836,group A,1981.01,28,USA,,,7,drug,yes,contaminated diptheria-tetanus toxoid-pertussis vaccine (DTP),,,
Streptococcus-1982-Ber-2360,group A,1980.25,306,USA,,,12,HCW,yes,nurse positive,,,
Streptococcus-1981-Rah-1187,SP,1980.25,91,UK,,,17,HCW,yes,3/88 HCW positive; env negative,,,
Streptococcus-1979-Sch-2356,group A,1976.08,59,USA,,,4,HCW+air,no,operating room attendant positive but no direct contact with patients so likely air,,,
Streptococcus-1977-Wal-1263,group B,1974.67,30,USA,,,30,unk,no,,,,
Streptococcus-1977-Ric-2343,group A,1976.08,10,USA,,,4,unk,no,,,,
Streptococcus-1976-Cen-2350,group A,1976,59,USA,,,6,unk,no,,,,
Streptococcus-1975-Dow-1097,group A,1973.25,61,UK,,,28,unk,no,,,,
Streptococcus-1970-Gry-2342,group A,1969.17,61,USA,,,13,HCW,yes,anesthesiologist,,,
Streptococcus-1969-Nob-2296,group A,1967.08,242,UK,,,24,HCW,no,,,,
Streptococcus-1969-Sch-1385,group A,1968.58,153,USA,,,21,unk,no,,,,
Streptococcus-1969-Tan-1264,group A,1966.17,61,USA,,,13,unk,no,,,,
Streptococcus-1968-McI-2363,SP,1965,365,USA,,,11,HCW,yes,medical attendant,,,
Streptococcus-1967-Hol-1139,group A,1966.25,183,USA,,,8,unk,no,HCW negative,,,
Streptococcus-1966-McK-2378,SP,,77,USA,,,11,HCW,yes,,,,
Streptococcus-1966-Zim-2359,group A,1965.33,31,USA,,,2,HCW,yes,surgeon,,,
Streptococcus-1965-Qui-2352,group A,1964,59,USA,,,5,HCW,yes,surgeon,,,
Streptococcus-1965-Nas-1228,Streptococcus,1962.25,61,UK,,,20,unk,no,,,,
,,,,,,,,,,all checked ,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
